benchmark, smartexists, time, peaknodes
adding.1.bdd, 0, 0.469348, 48286
adding.1.bdd, 1, 80.199539, 48372
adding.1.bdd, 2, 4.917869, 48372
anderson.1.bdd, 0, 8.909004, 432592
anderson.2.bdd, 0, 0.196900, 31694
anderson.2.bdd, 1, 296.233901, 32032
anderson.2.bdd, 2, 6.782744, 32032
anderson.4.bdd, 0, 0.704298, 181442
anderson.4.bdd, 2, 280.346886, 184835
at.1.bdd, 0, 2.826743, 398141
at.1.bdd, 2, 225.361720, 400310
bakery.1.bdd, 0, 0.429567, 46263
bakery.1.bdd, 2, 25.426629, 46263
bakery.2.bdd, 0, 0.324200, 32241
bakery.2.bdd, 2, 13.309291, 32241
bakery.3.bdd, 0, 2.851579, 294335
bakery.4.bdd, 0, 9.715170, 866256
bridge.1.bdd, 0, 0.228462, 62993
bridge.1.bdd, 2, 12.459483, 62993
bridge.2.bdd, 0, 0.946937, 391607
brp.1.bdd, 0, 1.980138, 286098
brp.2.bdd, 0, 1.936339, 283192
brp2.1.bdd, 0, 2.833270, 270796
brp2.2.bdd, 0, 7.806340, 805754
brp2.3.bdd, 0, 2.746765, 269746
brp2.4.bdd, 0, 13.032472, 576307
brp2.5.bdd, 0, 12.017107, 651939
cambridge.1.bdd, 0, 1.985090, 417853
cambridge.2.bdd, 0, 2.577608, 559070
cambridge.3.bdd, 0, 2.372013, 521183
cambridge.4.bdd, 0, 10.258720, 984294
collision.1.bdd, 0, 0.382105, 32093
collision.1.bdd, 2, 32.767194, 33309
collision.2.bdd, 0, 0.548690, 56329
collision.2.bdd, 2, 77.183985, 58550
collision.3.bdd, 0, 6.621726, 476607
cyclic_scheduler.2.bdd, 0, 0.239714, 22617
cyclic_scheduler.2.bdd, 2, 23.728961, 24253
driving_phils.1.bdd, 0, 1.583308, 125743
driving_phils.2.bdd, 0, 3.641134, 236205
elevator.1.bdd, 0, 1.666138, 344306
elevator.2.bdd, 0, 0.722432, 200881
elevator.2.bdd, 2, 240.486274, 200881
elevator2.1.bdd, 0, 0.182792, 8920
elevator2.1.bdd, 1, 122.158009, 10773
elevator2.1.bdd, 2, 4.494542, 10773
elevator2.2.bdd, 0, 5.099500, 136936
elevator_planning.1.bdd, 0, 0.320046, 99109
elevator_planning.1.bdd, 2, 108.578241, 101887
elevator_planning.3.bdd, 0, 0.543279, 93260
elevator_planning.3.bdd, 2, 69.294415, 101476
exit.1.bdd, 0, 1.925517, 755741
exit.2.bdd, 0, 1.195100, 562523
fischer.1.bdd, 0, 0.187360, 27325
fischer.1.bdd, 1, 81.899669, 27383
fischer.1.bdd, 2, 3.405384, 27383
fischer.2.bdd, 0, 1.396020, 217625
fischer.2.bdd, 2, 172.346635, 219336
frogs.1.bdd, 0, 0.480634, 96276
frogs.2.bdd, 0, 0.965790, 377748
frogs.2.bdd, 2, 295.825147, 377748
gear.1.bdd, 0, 0.513607, 59128
gear.1.bdd, 2, 209.161796, 59128
gear.2.bdd, 0, 2.492746, 119752
iprotocol.1.bdd, 0, 0.362675, 57871
iprotocol.1.bdd, 2, 138.158978, 66097
iprotocol.2.bdd, 0, 0.904263, 134345
krebs.1.bdd, 0, 3.237303, 1554749
lamport.1.bdd, 0, 1.454964, 154174
lamport.1.bdd, 2, 131.410253, 156529
lamport.2.bdd, 0, 5.689409, 359588
lamport.3.bdd, 0, 1.951859, 195481
lamport.3.bdd, 2, 187.424323, 202702
lamport_nonatomic.1.bdd, 0, 0.907299, 204868
lamport_nonatomic.1.bdd, 2, 173.285106, 204948
lamport_nonatomic.2.bdd, 0, 0.766371, 171778
lamport_nonatomic.2.bdd, 2, 140.055042, 171778
lamport_nonatomic.3.bdd, 0, 1.085297, 236662
lamport_nonatomic.3.bdd, 2, 203.558052, 236747
lann.1.bdd, 0, 3.681261, 566402
lann.2.bdd, 0, 1.877189, 849891
leader_filters.4.bdd, 0, 2.079413, 311127
lifts.1.bdd, 0, 0.634378, 187653
lifts.1.bdd, 2, 247.977590, 187653
lifts.2.bdd, 0, 0.636692, 188380
lifts.2.bdd, 2, 249.816382, 188380
lifts.3.bdd, 0, 5.103081, 1301435
